id,podatek
0,Merrill de Maris
1,David Mamet
2,Carl Theodor Dreyer
3,Milos Forman
4,Robert Pattinson
5,Scoot McNairy
6,Francis Ford Coppola
7,Albert S. Ruddy
8,Andrew Patterson
9,Payal Kapadia
10,Terry Jones
11,Paul Thomas Anderson
12,Emma Thomas
13,Burt Kennedy
14,Fede Alvarez
15,Martin Balsam
16,Tim Whelan Sr.
17,Martin Ritt
18,W.S. Van Dyke
19,Ishiro Honda
20,Brad Booker
21,Sam Peckinpah
22,Ted Wilde
23,Zack Snyder
24,Richard Thorpe
25,Alexander Hall
26,Marco Bellocchio
27,Hutch Parker
28,Darren Aronofsky
29,Werner Herzog
30,Peter MacDonald
31,Valentyn Vasyanovych
32,Damian Harris
33,Lucile Hadzihalilovic
34,Craig Gillespie
35,Joon-ho Bong
36,Sidney Franklin
37,William Cameron Menzies
38,Ash Brannon
39,Steven Lisberger
40,Timur Bekmambetov
41,Lauren Hadaway
42,Haruo Sotozaki
43,Antonio Zarro
44,Jean Cocteau
45,Kenneth Collard
46,Tony DeRosa-Grund
47,T. Hee
48,Frank Borzage
49,Donald Crisp
50,Ron Bozman
51,Ron Howard
52,Peter Riche
53,Agnieszka Holland
54,Neil Jordan
55,Luigi Vanzi
56,Aaron Rosenberg
57,Gary Lockwood
58,Martin McDonagh
59,Danniel Danniel
60,Jules Bass
61,Masaaki Yuasa
62,Christian Petzold
63,Jack Arnold
64,Masahiro Shinoda
65,Hirokazu Koreeda
66,Bryan Singer
67,Denis Villeneuve
68,Kôichi Ôhata
69,Lucien Ballard
70,Tim Burton
71,Fred Guiol
72,Craig Zobel
73,Laurent Bouhnik
74,Ken Loach
75,Barry Levinson
76,Jan Svankmajer
77,Jean-Jacques Beineix
78,Tay Garnett
79,Harry Secombe
80,Nia DaCosta
81,Steve Tisch
82,David Mackenzie
83,Jane Schoenbrun
84,Na Hong-Jin
85,Bob Persichetti
86,Nizamettin Ariç
87,Bryan Burk
88,Hayao Miyazaki
89,Krzysztof Kieslowski
90,Jean Renoir
91,Gary Levinsohn
92,William A. Wellman
93,Jules Dassin
94,Dean Fleischer-Camp
95,Shani Wallis
96,Warren Beatty
97,Bob Fosse
98,Gerard Johnstone
99,Florian Henckel von Donnersmarck
100,Ruben Fleischer
101,Maurice Denham
102,Delmer Daves
103,Spike Lee
104,David Oelhoffen
105,Brian Grazer
106,Jean-Paul Rappeneau
107,Art Linson
108,Penny Marshall
109,Monte Hellman
110,Simón Franco
111,Gus Van
112,John B. Hobbs
113,Chiwetel Ejiofor
114,Oren Peli
115,Jeff Tomsic
116,Victor Fleming
117,Clyde Bruckman
118,Jon Watts
119,Zoltan Korda
120,Damien Chazelle
121,Lisa Joy
122,Josh Cooley
123,Peter Yates
124,Hassan Yektapanah
125,Bud Yorkin
126,Jean Vigo
127,Zhang Yimou
128,Tetsuya Nakashima
129,Radoslaw Piwowarski
130,Corin Hardy
131,Carl Molinder
132,Rouben Mamoulian
133,Paul Satterfield
134,Gennadiy Poloka
135,Quentin Tarantino
136,Alain Robbe-Grillet
137,Wes Craven
138,Andrei Tarkovsky
139,Philip Kaufman
140,Chema de la Peña
141,Elliot Silverstein
142,Warren Oates
143,Susan Kraker
144,Alexandre Astruc
145,Ola Orebiyi
146,Domhnall Gleeson
147,Joe DeNardo
148,Eddie Tagoe
149,J.A. Howe
150,Arthur Penn
151,James Bridges
152,Alex Garland
153,Doris Dörrie
154,Matthew Vaughn
155,Norman Wright
156,Colin Trevorrow
157,Brad Grey
158,Jared Bush
159,Eldar Ryazanov
160,Tamra Davis
161,Jean-François Richet
162,Syd Lim
163,Brian Desmond Hurst
164,Ettore Scola
165,Guy Hamilton
166,Jack Wild
167,William Friedkin
168,Nick Park
169,John Ford
170,Terry Hughes
171,Graham Heid
172,David Hand
173,Barry Jenkins
174,Damon Lindelof
175,Jack Pickford
176,Jim Abrahams
177,John S. Robertson
178,Howard Hawks
179,James Cameron
180,Semyon Aranovich
181,Miky Lee
182,Anand Tucker
183,Kelly Fremon
184,Bruce Sinofsky
185,Anthony Russo
186,Bruce McDonald
187,Juan José Campanella
188,Alejandro González Iñárritu
189,Graham King
190,Chris Noonan
191,Maurice Tourneur
192,Ronnie del Carmen
193,Bora Todorovic
194,Pam Ferris
195,Anatole Dauman
196,Edward Dmytryk
197,Théo Angelopoulos
198,Marilyn Ness
199,Davor Dujmovic
200,Avi Arad
201,Clarence Brown
202,Irwin Winkler
203,Norman Ferguson
204,Rex Ingram
205,Alfred Hitchcock
206,George Romero
207,Michael Caine
208,Henri Pouctal
209,Kenji Mizoguchi
210,Sylvia Moberly-Holland
211,Lars-Owe Carlberg
212,Sergio Corbucci
213,Armando Iannucci
214,Alexandre Bustillo
215,George Sluizer
216,Sam Zimbalist
217,Edward Ludwig
218,Otar Iosseliani
219,Nicholas Ray
220,Takumi Kumizuka
221,Justin Kurzel
222,André Delvaux
223,Andrew Gaynord
224,Julianne Moore
225,Ana Lily Amirpour
226,Marshall Neilan
227,Sebastian Meise
228,Robert E. Collins
229,Harry Hoyt
230,Chad Archibald
231,Sidse Babett Knudsen
232,Billy Wilder
233,George Stevens
234,Vernon Dobtcheff
235,John Singleton
236,Michel Merkt
237,Sam Karmann
238,Larry Morey
239,John Krasinski
240,Jacques Rivette
241,Robert Wiene
242,Neil Canton
243,Mamoru Oshii
244,Andrew Jarecki
245,Gavin Polone
246,Robert Redford
247,Levan Gabriadze
248,Nicolaj Arcel
249,George Seaton
250,Roger Corman
251,Ben Blaine
252,Otto Preminger
253,Jean-Pierre Melville
254,John Maclean
255,Joel Coen
256,Rob Reiner
257,Albert Birney
258,Robert Hamer
259,Terence Young
260,George Miller
261,Jean-Luc Herbulot
262,Noah Baumbach
263,John Hillcoat
264,Kevin Kolsch
265,Alan Rickman
266,Maryam Touzani
267,Jake Gyllenhaal
268,Jan de Bont
269,Bruno Forzani
270,Fred M. Wilcox
271,Mervyn LeRoy
272,Carlos Diegues
273,Michel Gondry
274,Erik Balling
275,Bob Gale
276,Ridley Scott
277,Fritz Lang
278,Robert Florey
279,Federico Fellini
280,Marco Ferreri
281,David Michod
282,Blake Edwards
283,Gene Kelly
284,Paul Schrader
285,Jane Campion
286,Andras Szirtes
287,Wolfgang Petersen
288,Jack Conway
289,Don Siegel
290,Chris Blaine
291,Roman Polański
292,Preston Sturges
293,David Lean
294,Paul Felten
295,Natalie Erika James
296,Marielle Heller
297,Andrew Stanton
298,Harry Guardino
299,James Gray
300,Sidney Salkow
301,Nobuhiro Yamashita
302,Frank Stapleton
303,Frank D. Gilroy
304,Jacques Demy
305,Orson Welles
306,Oscar Isaac
307,Neill Blomkamp
308,Andy Muschietti
309,Fred Zinnemann
310,Oliver Stone
311,Leigh Whannell
312,Ted Kotcheff
313,Pawel Pawlikowski
314,Steven Soderbergh
315,Jack Sholder
316,Joe Taslim
317,Cary Fukunaga
318,J.C. Chandor
319,Alonso Ruizpalacios
320,Juanfer Andrés
321,James Franco
322,Éric Rohmer
323,Vladimir Motyl
324,Henry Koster
325,Jaume Balagueró
326,Franco Zeffirelli
327,Dorothy Arzner
328,Esteban Roel
329,Chloé Zhao
330,Anthony Mackie
331,Hamilton Luske
332,Joe Berlinger
333,Lars von Trier
334,Jean-Charles Tacchella
335,Albert Heath
336,João Pedro Rodrigues
337,John Frankenheimer
338,Shin'ichiro Ueda
339,Lesley Selander
340,Howard Zieff
341,Edmond O'Brien
342,Felix O. Adlon
343,Michael Moore
344,Benjamin Christensen
345,Nelly Kaplan
346,Richard D. Zanuck
347,Samuel Armstrong
348,Nicolas Roeg
349,Daniel Scheinert
350,Ali Abbasi
351,Alex Kurtzman
352,Henry Hathaway
353,Jean Eustache
354,Jonathan Demme
355,Eli Roth
356,Harold Ramis
357,Joseph H. Lewis
358,Henry Selick
359,Marcel Carné
360,Linda Blair
361,Herbert J. Yates
362,Paul Bettany
363,Peter Sallis
364,Richard Brooks
365,Péter Bacsó
366,Costa-Gavras
367,Robert Zemeckis
368,Shaun Peterson
369,Paul Salamoff
370,Yee Chih-yen
371,Anne Émond
372,Michael Powell
373,Jasmilla Zbanic
374,Guillermo del Toro
375,Lana Wachowski
376,Kemp Powers
377,George Lucas
378,Santiago Mitre
379,Awtar Krishna Kaul
380,Murray Fahey
381,Tamara Hernandez
382,Alicia Vikander
383,Henri-Georges Clouzot
384,Franck Ekinci
385,Jack Kinney
386,Juliano Dornelles
387,Peter Greenaway
388,George Sidney
389,Jack Clayton
390,Naomie Harris
391,Joseph Gordon-Levitt
392,Lawrence Bender
393,Dan Trachtenberg
394,Goro Miyazaki
395,Murali Nair
396,Denis Delcampe
397,Stephen Anderson
398,Clint Eastwood
399,Tod Browning
400,Joe Russo
401,John Nordling
402,Michel Brault
403,Shane Black
404,Trevor Albert
405,Phil Tippett
406,Stephen Frears
407,Charlie Chaplin
408,John Sturges
409,Beth de Araújo
410,Todd Phillips
411,Mel Brooks
412,Frank Pavich
413,Tony Britton
414,Manoel de Oliveira
415,Kleber Mendonça Filho
416,James Ivory
417,Sebastian Hofmann
418,Peter Strickland
419,Georgiy Daneliya
420,Todd Black
421,Claude Chabrol
422,Lloyd Bacon
423,Ernest B. Schoedsack
424,Herbert Brenon
425,Robert Benton
426,Kaljo Kiisk
427,Norman Taurog
428,Johnnie To
429,William Cottrell
430,Karl Freund
431,John G. Avildsen
432,Sergio Leone
433,Walt Disney
434,Ted Post
435,Huang Ming-chuan
436,Mack Sennett
437,Michelangelo Antonioni
438,Alfred L. Werker
439,Robert Rodriguez
440,Anton Bormatov
441,William Keighley
442,Eric Greene
443,Andrew Bujalski
444,Tim Miller
445,Peter Ramsey
446,Kirill Serebrennikov
447,Kogonada
448,Oliver Reed
449,John Huston
450,Woody Allen
451,Josef von Sternberg
452,Tim Story
453,John Hofsess
454,Julien Maury
455,Jeffrey Leslie
456,Thomas Carr
457,Alfred E. Green
458,Nanni Moretti
459,Michael G. Wilson
460,Paul Leni
461,Anthony Mann
462,Scott Derrickson
463,Sam Raimi
464,Jaume Collet-Serra
465,Brandon Christensen
466,Dan Scanlon
467,Richard Linklater
468,Christian Desmares
469,Joachim Rønning
470,William Beaudine
471,Edward F. Cline
472,Mario Monicelli
473,Polly Bergen
474,Jim Jarmusch
475,Jaime Sánchez
476,Anisia Uzeyman
477,Hélène Cattet
478,Bill Roberts
479,Moira Armstrong
480,Dave Fleischer
481,Steve Box
482,Stanley Kubrick
483,Joseph Kosinski
484,Jason Blumenthal
485,Chang-dong Lee
486,Curtis Hanson
487,George Dunning
488,Irvin Kershner
489,Vittorio de Sica
490,J. Miles Dale
491,John Farrow
492,Greg Shapiro
493,Gus Van Sant
494,Leland R. Thomas
495,George Sherman
496,Naoyuki Yoshinaga
497,Marcel Bluwal
498,Vitaliy Melnikov
499,Katsuhiro Otomo
500,Philippe Lesage
501,William Wyler
502,Arthur Rankin Jr.
503,John Badham
504,Kathryn Bigelow
505,Don Hall
