film,clovek,vloga
0,23183,Igralec
0,6689,Igralec
0,17312,Igralec
0,19938,Igralec
0,15782,Igralec
0,12705,Igralec
0,19834,Igralec
0,20653,Igralec
0,7522,Igralec
0,3860,Igralec
0,2240,Igralec
0,12883,Igralec
0,5856,Igralec
0,22940,Igralec
0,11653,Igralec
0,7013,Igralec
0,14998,Igralec
0,13239,Igralec
0,13752,Igralec
0,1065,Igralec
0,5328,Igralec
0,13914,Igralec
0,21922,Igralec
0,17482,Igralec
0,23909,Igralec
0,18063,Igralec
0,3173,Igralec
0,24361,Igralec
0,10338,Igralec
0,16891,Igralec
0,9151,Igralec
0,14519,Igralec
0,310,Igralec
0,4671,Igralec
0,8371,Igralec
0,8330,Igralec
0,10817,Igralec
0,16071,Igralec
0,7861,Igralec
0,2712,Igralec
0,11909,Reziser
1,13915,Igralec
1,17079,Igralec
1,18019,Igralec
1,23803,Igralec
1,2264,Igralec
1,21083,Igralec
1,2203,Igralec
1,22493,Igralec
1,25078,Igralec
1,16079,Igralec
1,19860,Igralec
1,2068,Igralec
1,12500,Igralec
1,24030,Igralec
1,8978,Igralec
1,23704,Igralec
1,3438,Igralec
1,16263,Igralec
1,12236,Igralec
1,22,Igralec
1,21147,Igralec
1,1461,Igralec
1,3101,Igralec
1,2491,Igralec
1,16866,Igralec
1,21930,Igralec
1,22053,Igralec
1,24445,Igralec
1,1850,Igralec
1,16442,Igralec
1,13986,Igralec
1,4068,Igralec
1,22472,Igralec
1,11940,Igralec
1,12955,Igralec
1,4926,Reziser
2,4131,Igralec
2,13039,Igralec
2,5924,Igralec
2,7589,Igralec
2,5845,Igralec
2,2947,Igralec
2,6922,Igralec
2,18159,Igralec
2,21748,Igralec
2,11968,Igralec
2,6132,Igralec
2,11470,Igralec
2,7768,Igralec
2,16641,Igralec
2,22485,Igralec
2,11761,Igralec
2,14906,Igralec
2,14549,Igralec
2,7919,Igralec
2,17759,Igralec
2,5055,Igralec
2,1780,Igralec
2,16682,Igralec
2,21507,Igralec
2,24590,Igralec
2,23280,Igralec
2,19953,Igralec
2,11937,Igralec
2,14785,Igralec
2,8555,Igralec
2,13184,Igralec
2,18261,Igralec
2,24997,Igralec
2,1350,Igralec
2,19101,Igralec
2,19446,Igralec
2,7187,Igralec
2,19020,Igralec
2,14141,Igralec
2,9734,Igralec
2,13287,Igralec
2,13954,Igralec
2,6958,Igralec
2,2603,Igralec
2,18687,Igralec
2,7795,Igralec
2,19420,Reziser
3,17920,Igralec
3,22649,Igralec
3,19168,Igralec
3,10087,Igralec
3,974,Igralec
3,13771,Igralec
3,5040,Igralec
3,4215,Igralec
3,24233,Igralec
3,6107,Igralec
3,9355,Igralec
3,2763,Igralec
3,6339,Igralec
3,9664,Igralec
3,23375,Igralec
3,2052,Igralec
3,14131,Igralec
3,10779,Igralec
3,8250,Reziser
4,17674,Igralec
4,1,Igralec
4,16672,Igralec
4,14860,Igralec
4,13902,Igralec
4,7168,Igralec
4,21646,Igralec
4,22303,Igralec
4,14060,Igralec
4,2448,Igralec
4,3848,Igralec
4,18040,Igralec
4,17053,Igralec
4,943,Igralec
4,23533,Igralec
4,1159,Igralec
4,9495,Igralec
4,1698,Igralec
4,15555,Igralec
4,14936,Igralec
4,24045,Igralec
4,25105,Igralec
4,2162,Igralec
4,2009,Igralec
4,22378,Igralec
4,12867,Igralec
4,16228,Igralec
4,1138,Igralec
4,24764,Igralec
4,23672,Reziser
5,1299,Igralec
5,21137,Igralec
5,13830,Igralec
5,9927,Igralec
5,19076,Igralec
5,24328,Igralec
5,10650,Igralec
5,2544,Igralec
5,9489,Igralec
5,3576,Igralec
5,17117,Igralec
5,14876,Igralec
5,23592,Igralec
5,17318,Igralec
5,13530,Igralec
5,559,Igralec
5,18696,Igralec
5,3211,Igralec
5,17993,Igralec
5,3470,Igralec
5,10862,Igralec
5,20275,Igralec
5,25282,Igralec
5,23886,Igralec
5,7623,Igralec
5,13035,Igralec
5,20459,Igralec
5,5991,Igralec
5,2614,Igralec
5,2973,Igralec
5,10454,Igralec
5,1318,Igralec
5,20426,Igralec
5,21093,Igralec
5,589,Igralec
5,20510,Igralec
5,11598,Igralec
5,622,Igralec
5,9634,Igralec
5,22978,Igralec
5,23619,Igralec
5,15932,Igralec
5,21502,Igralec
5,21770,Reziser
5,19641,Reziser
6,24768,Igralec
6,5719,Igralec
6,3956,Igralec
6,12301,Igralec
6,3620,Igralec
6,19863,Igralec
6,23548,Igralec
6,10103,Igralec
6,18487,Reziser
7,184,Igralec
7,6620,Igralec
7,10795,Igralec
7,11030,Igralec
7,20360,Igralec
7,15424,Igralec
7,12793,Igralec
7,9497,Igralec
