id,podatek
0,Slapstick Violence
1,War Violence
2,Excellent For Children
3,Nudity
4,Gore
5,Adult Humor
6,Adult Language
7,Alcohol Consumption
8,Graphic Violence
9,Suitable for Children
10,Watch With Your Kids
11,Rape & Sexual Abuse
12,Adult Situations
13,Strong Sexual Content
14,Sci-Fi Violence
15,Questionable for Children
16,Suitable for Teens
17,Scatological Humor
18,Scary Moments
19,Western Violence
20,Mild Violence
21,Smoking
22,Sexual Situations
23,Mild Language
24,Youth Substance Use
25,Profanity
26,Child Classic
27,Brief Nudity
28,Drug Content
29,Substance Abuse
30,Children in Peril
31,Torture
32,Watch With Your Teen
33,Violence
34,Not For Children
