film,oznaka
0,Adult Language
0,Adult Situations
0,Not For Children
0,Profanity
0,Violence
1,Drug Content
1,Profanity
1,Violence
2,Violence
3,Adult Situations
3,Suitable for Children
4,Mild Violence
5,Sci-Fi Violence
5,Watch With Your Kids
6,Adult Situations
7,Adult Language
7,Violence
8,Nudity
8,Profanity
8,Strong Sexual Content
10,Adult Situations
10,Questionable for Children
10,Smoking
12,Adult Humor
12,Adult Situations
12,Mild Violence
12,Not For Children
12,Profanity
13,Adult Situations
13,Questionable for Children
14,Adult Situations
14,Profanity
14,Violence
15,Drug Content
15,Gore
15,Graphic Violence
15,Nudity
15,Profanity
15,Sexual Situations
16,Adult Language
16,Adult Situations
16,Mild Violence
16,Suitable for Children
17,Adult Situations
17,Not For Children
17,Rape & Sexual Abuse
17,Violence
18,Questionable for Children
18,Violence
19,Adult Humor
19,Adult Situations
19,Mild Violence
19,Not For Children
19,Nudity
19,Profanity
19,Strong Sexual Content
19,Watch With Your Teen
20,Adult Language
20,Gore
20,Not For Children
20,Profanity
20,Violence
21,Gore
21,Not For Children
21,Profanity
22,Excellent For Children
24,Adult Situations
25,Adult Situations
25,Mild Violence
25,Suitable for Children
26,Adult Situations
26,Questionable for Children
28,Not For Children
28,Violence
29,Adult Situations
29,Not For Children
29,Profanity
29,Sexual Situations
29,Substance Abuse
30,Graphic Violence
30,Not For Children
30,Profanity
30,Rape & Sexual Abuse
30,Watch With Your Teen
31,Adult Situations
31,Not For Children
31,Nudity
34,Suitable for Children
35,Adult Humor
35,Questionable for Children
36,Suitable for Children
41,Adult Situations
41,Questionable for Children
42,Adult Situations
42,Not For Children
42,Violence
43,Mild Violence
44,Adult Language
44,Adult Situations
44,Violence
44,Youth Substance Use
45,Adult Situations
46,Not For Children
46,Violence
47,Adult Language
47,Adult Situations
48,Adult Situations
49,Suitable for Children
50,Brief Nudity
50,Sexual Situations
51,Rape & Sexual Abuse
53,Violence
54,Not For Children
55,Suitable for Children
56,Sexual Situations
56,Violence
57,Questionable for Children
57,Western Violence
58,Suitable for Children
59,Suitable for Children
60,Brief Nudity
60,Graphic Violence
60,Profanity
61,Suitable for Children
62,Adult Situations
62,Profanity
63,Adult Situations
64,Profanity
64,Sexual Situations
65,Adult Situations
66,Excellent For Children
67,Adult Language
67,Adult Situations
67,Mild Violence
67,Questionable for Children
68,Adult Humor
68,Adult Situations
68,Mild Violence
68,Profanity
68,Sexual Situations
69,Suitable for Children
70,Adult Language
70,Adult Situations
70,Not For Children
70,Profanity
70,Violence
71,Mild Violence
71,Questionable for Children
71,Suitable for Teens
72,Suitable for Children
74,Profanity
74,Sexual Situations
75,Adult Humor
75,Questionable for Children
76,Suitable for Children
77,Drug Content
77,Nudity
77,Profanity
77,Sexual Situations
78,Adult Situations
78,Not For Children
78,Nudity
78,Strong Sexual Content
79,Gore
79,Graphic Violence
79,Profanity
80,Not For Children
80,Sexual Situations
80,Violence
81,Adult Situations
81,Nudity
81,Questionable for Children
81,Violence
82,Adult Situations
82,Not For Children
82,Violence
83,Adult Humor
83,Graphic Violence
84,Adult Situations
84,Brief Nudity
84,Mild Violence
84,Not For Children
85,Adult Situations
85,Not For Children
85,Violence
87,Adult Situations
87,Brief Nudity
87,Questionable for Children
87,Violence
88,Suitable for Children
89,Adult Situations
89,Suitable for Teens
90,Profanity
90,Violence
91,Adult Situations
91,Mild Violence
91,Suitable for Children
91,Western Violence
92,Profanity
92,Sexual Situations
94,Adult Situations
94,Questionable for Children
95,Suitable for Children
96,Brief Nudity
96,Profanity
96,Sexual Situations
96,Violence
97,Suitable for Children
97,Violence
98,War Violence
99,Suitable for Children
100,Adult Language
100,Adult Situations
101,Adult Humor
101,Adult Situations
103,Adult Situations
103,Not For Children
104,Drug Content
104,Nudity
104,Sexual Situations
105,Adult Language
105,Suitable for Children
105,Violence
106,Nudity
106,Profanity
106,Sexual Situations
106,Violence
107,Adult Humor
107,Adult Language
107,Adult Situations
107,Questionable for Children
108,Adult Situations
108,Questionable for Children
108,Violence
109,Suitable for Children
111,Suitable for Children
113,Adult Language
113,Not For Children
113,Sexual Situations
114,Adult Situations
114,Questionable for Children
114,Violence
115,Not For Children
115,Violence
116,Adult Situations
117,Adult Humor
117,Not For Children
117,Sexual Situations
119,Drug Content
119,Nudity
119,Profanity
119,Strong Sexual Content
119,Violence
120,Graphic Violence
120,Not For Children
120,Profanity
120,Strong Sexual Content
121,Suitable for Children
122,Questionable for Children
123,Adult Situations
123,Not For Children
123,Violence
124,Not For Children
124,Violence
125,Suitable for Children
126,Adult Situations
126,Violence
128,Adult Humor
128,Suitable for Children
130,Child Classic
131,Profanity
131,Sexual Situations
131,Violence
131,Youth Substance Use
132,Adult Situations
132,Suitable for Children
133,Adult Situations
133,Mild Violence
133,Questionable for Children
134,Adult Situations
135,Adult Language
135,Adult Situations
135,Brief Nudity
135,Not For Children
135,Substance Abuse
135,Violence
136,Child Classic
136,Scary Moments
139,Adult Language
139,Adult Situations
139,Questionable for Children
139,Violence
140,Scary Moments
140,Violence
141,Adult Humor
141,Adult Situations
141,Nudity
141,Profanity
141,Sexual Situations
142,Graphic Violence
142,Not For Children
143,Adult Situations
143,Questionable for Children
144,Suitable for Children
146,Adult Language
146,Brief Nudity
146,Sci-Fi Violence
147,Graphic Violence
147,Not For Children
147,Nudity
147,Profanity
147,Strong Sexual Content
147,Substance Abuse
148,Adult Language
148,Not For Children
148,Sexual Situations
149,Suitable for Children
150,Child Classic
150,Scary Moments
150,Watch With Your Kids
151,Drug Content
151,Nudity
151,Profanity
151,Strong Sexual Content
152,Adult Situations
153,Mild Violence
153,Profanity
154,Adult Situations
154,Not For Children
154,Nudity
154,Profanity
154,Strong Sexual Content
154,Violence
156,Nudity
156,Profanity
156,Violence
157,Questionable for Children
157,Violence
158,Excellent For Children
158,Scary Moments
159,Adult Language
159,Adult Situations
159,Nudity
160,Suitable for Children
164,Adult Situations
165,Adult Situations
165,Mild Violence
165,Questionable for Children
166,Suitable for Children
167,Adult Situations
167,Violence
168,Graphic Violence
168,Profanity
168,Sexual Situations
168,Violence
169,Adult Situations
169,Nudity
169,Questionable for Children
169,Violence
170,Adult Situations
170,Not For Children
170,Violence
170,War Violence
171,Graphic Violence
171,Not For Children
171,Profanity
171,Sexual Situations
173,Questionable for Children
174,Scatological Humor
175,Adult Language
175,Adult Situations
176,Adult Situations
176,Graphic Violence
176,Profanity
177,Not For Children
177,Violence
178,Adult Language
178,Adult Situations
178,Questionable for Children
179,Adult Situations
179,Not For Children
179,Nudity
180,Adult Humor
180,Sexual Situations
181,Adult Humor
181,Adult Language
181,Adult Situations
181,Questionable for Children
183,Violence
184,Profanity
184,Violence
185,Adult Situations
185,Not For Children
185,Violence
188,Adult Language
188,Graphic Violence
188,Not For Children
188,Strong Sexual Content
189,Suitable for Children
190,Violence
191,Adult Situations
191,Not For Children
191,Nudity
191,Profanity
191,Sexual Situations
192,Not For Children
192,Profanity
192,Sexual Situations
192,Violence
193,Drug Content
193,Graphic Violence
193,Profanity
193,Strong Sexual Content
194,Drug Content
194,Profanity
194,Violence
195,Adult Situations
195,Gore
195,Graphic Violence
195,Sexual Situations
196,Suitable for Children
198,Adult Situations
199,Profanity
200,Adult Situations
200,Suitable for Teens
201,Nudity
201,Profanity
201,Sexual Situations
201,Violence
202,Excellent For Children
203,Adult Situations
204,Brief Nudity
204,Not For Children
204,Profanity
204,Violence
205,Profanity
205,Violence
206,Excellent For Children
206,Mild Violence
207,Western Violence
208,Adult Situations
209,Adult Humor
209,Adult Situations
209,Not For Children
209,Suitable for Teens
212,Smoking
213,Adult Language
213,Adult Situations
213,Not For Children
213,Substance Abuse
213,Violence
214,Sci-Fi Violence
215,Gore
215,Violence
216,Suitable for Children
217,Questionable for Children
218,Profanity
218,Violence
219,Child Classic
220,Questionable for Children
220,Violence
221,Graphic Violence
221,Profanity
221,Sexual Situations
222,Drug Content
222,Graphic Violence
222,Nudity
222,Profanity
222,Sexual Situations
223,Sci-Fi Violence
223,Suitable for Children
224,Adult Language
224,Adult Situations
224,Children in Peril
224,Smoking
226,Adult Situations
227,Adult Humor
227,Scary Moments
227,Violence
228,Adult Humor
228,Suitable for Children
229,Adult Situations
229,Not For Children
230,Adult Situations
231,Gore
231,Profanity
231,Violence
232,Adult Humor
232,Adult Situations
232,Brief Nudity
232,Profanity
232,Questionable for Children
232,Sexual Situations
232,Violence
234,Mild Violence
234,Not For Children
234,Sexual Situations
235,Adult Language
235,Adult Situations
235,Smoking
235,Violence
236,Suitable for Children
237,Questionable for Children
237,Violence
239,Adult Humor
239,War Violence
240,Adult Situations
240,Violence
241,Adult Language
241,Sci-Fi Violence
242,Graphic Violence
242,Profanity
243,Adult Language
243,Nudity
243,Violence
245,Alcohol Consumption
245,Drug Content
245,Graphic Violence
245,Profanity
246,Profanity
246,Violence
247,Brief Nudity
247,Profanity
247,Sexual Situations
247,Violence
248,Not For Children
249,Profanity
249,War Violence
250,Adult Situations
251,Not For Children
251,Violence
252,Adult Language
252,Adult Situations
252,Drug Content
252,Mild Violence
252,Not For Children
254,Drug Content
254,Profanity
254,Violence
255,Adult Language
256,Gore
256,Not For Children
256,Profanity
256,Sexual Situations
257,Adult Situations
259,Not For Children
259,Substance Abuse
259,Violence
260,Questionable for Children
260,Violence
263,Not For Children
263,Strong Sexual Content
264,Adult Situations
264,Profanity
264,Violence
266,Mild Violence
266,Questionable for Children
268,Scary Moments
268,Violence
269,Adult Situations
269,Sexual Situations
270,Suitable for Children
271,Adult Situations
271,Not For Children
271,Strong Sexual Content
272,Profanity
272,Violence
273,Adult Situations
273,Not For Children
273,Strong Sexual Content
274,Violence
275,Suitable for Children
276,Violence
277,Excellent For Children
277,Mild Violence
277,Scary Moments
278,Graphic Violence
278,Not For Children
278,Rape & Sexual Abuse
279,Mild Violence
279,Questionable for Children
280,Questionable for Children
280,Violence
281,Questionable for Children
284,Adult Language
284,Not For Children
284,Violence
286,Adult Humor
286,Adult Situations
286,Drug Content
286,Profanity
286,Sexual Situations
287,Suitable for Children
287,Violence
290,Adult Language
290,Sci-Fi Violence
290,Suitable for Teens
292,Questionable for Children
293,Suitable for Children
294,Adult Humor
294,Questionable for Children
294,Slapstick Violence
295,Gore
295,Graphic Violence
295,Nudity
295,Profanity
295,Sexual Situations
296,Suitable for Children
297,Smoking
297,Western Violence
298,Adult Situations
299,Adult Language
299,Adult Situations
299,Graphic Violence
299,Not For Children
299,Nudity
301,Drug Content
301,Nudity
301,Profanity
301,Strong Sexual Content
302,Gore
302,Graphic Violence
302,Not For Children
302,Sci-Fi Violence
304,Not For Children
304,Profanity
304,Scary Moments
304,Violence
305,Mild Violence
306,Adult Language
306,Questionable for Children
306,Violence
307,Adult Situations
307,Brief Nudity
307,Mild Violence
308,Child Classic
309,Adult Situations
310,Not For Children
310,Sexual Situations
310,Violence
312,Adult Situations
312,Brief Nudity
312,Not For Children
312,Violence
313,Adult Humor
315,Not For Children
316,Adult Language
316,Excellent For Children
316,Mild Violence
317,Questionable for Children
318,Adult Situations
318,Not For Children
319,Adult Situations
319,Questionable for Children
321,Profanity
322,Suitable for Children
323,Violence
324,Mild Violence
325,Mild Violence
326,Questionable for Children
327,Profanity
327,Violence
328,Profanity
329,Questionable for Children
330,Sci-Fi Violence
331,Adult Situations
332,Nudity
332,Profanity
332,Sexual Situations
333,Excellent For Children
334,Mild Language
334,Suitable for Children
335,Suitable for Children
336,Adult Humor
336,Adult Situations
338,Suitable for Children
339,Suitable for Children
339,Western Violence
341,Adult Language
341,Alcohol Consumption
341,Child Classic
341,Scary Moments
341,Watch With Your Kids
342,Graphic Violence
342,Not For Children
343,Mild Violence
343,Suitable for Children
345,Adult Situations
345,Profanity
345,Questionable for Children
346,Not For Children
346,Violence
348,Graphic Violence
348,Profanity
349,Adult Situations
349,Questionable for Children
349,Rape & Sexual Abuse
350,Nudity
350,Questionable for Children
351,Adult Situations
351,Profanity
351,Scary Moments
351,Violence
352,Drug Content
352,Graphic Violence
352,Nudity
352,Profanity
352,Sexual Situations
353,Adult Language
353,Violence
355,Adult Language
355,Sci-Fi Violence
355,Suitable for Teens
356,Adult Situations
356,Violence
357,Adult Situations
357,Not For Children
358,Adult Situations
358,Not For Children
360,Adult Situations
360,Scary Moments
360,Suitable for Teens
360,Violence
360,Watch With Your Kids
361,Adult Language
361,Adult Situations
361,Not For Children
362,Adult Situations
362,Not For Children
363,Profanity
364,Adult Situations
365,Adult Situations
365,Profanity
365,Violence
366,Adult Situations
366,Profanity
366,Questionable for Children
367,Profanity
367,Sci-Fi Violence
368,Adult Situations
368,Profanity
