id,podatek
0,Mischievous Children
1,Obsessive Quests
2,Forbidden Love
3,Whistleblowers
4,Sibling Relationships
5,In Training
6,Survival in the Wilderness
7,Mental Illness
8,Crisis of Conscience
9,Twins and Lookalikes
10,Assassination Plots
11,Stranded
12,Discovering One's Heritage
13,Out For Revenge
14,Terrorism
15,Workplace Romance
16,Great Battles
17,Twentysomething Life
18,Lawyers
19,Hired Killers
20,Human Giants
21,Nannies and Caregivers
22,Serendipity
23,Runaways
24,Gender-Bending
25,Breakups and Divorces
26,Playing the Field
27,Estrangement
28,Getting Along [k]
29,Lost Worlds
30,Existential Crisis
31,Cons and Scams
32,Riches To Rags
33,Mad Scientists
34,Small-Town Life
35,Dysfunctional Families
36,Amateur Sleuths
37,Hijackings
38,Wrongly Committed
39,Inheritance at Stake
40,Double Life
41,Star-Crossed Lovers
42,High School Life
43,Stalkers
44,Rise To Power
45,Zombies
46,Interracial/Cross-Cultural Romance
47,Down on Their Luck
48,Alcoholism
49,Dangerous Attraction
50,Woman In Jeopardy
51,Living With Disability
52,Talking Animals
53,Office Politics
54,Trading Bodies
55,Life in the Arts
56,Facing Death
57,Romantic Betrayal
58,Bumbling Cops
59,On the Run
60,Thrill Crime
61,Ladder to the Top
62,Religious Zealotry
63,Mummies
64,School Violence [k]
65,Mental Breakdown
66,Spiritual Awakening
67,Knights and Ladies
68,Clearing One's Name
69,Immortality
70,Police Corruption
71,Boarding School Life
72,Filmmaking
73,Vigilantes
74,Mercenaries
75,Witnessing a Crime
76,Cyberspace [Anime]
77,Renegade Body Parts
78,Unrequited Love
79,Dropping Out
80,Air Disasters
81,Midlife Crises
82,Computer Paranoia
83,Star Detectives
84,Trapped or Confined
85,Kids in Trouble
86,Lovers Reunited
87,Yakuza
88,Disasters at Sea
89,Parenthood
90,Unlikely Criminals
91,Miraculous Events
92,Orphans
93,Party Film
94,Members of the Clergy
95,Talented Animals
96,Space Travel
97,One Against the Mob
98,Escape From Prison
99,Journey of Self-Discovery
100,Rookie Cops
101,Expecting a Baby
102,Thirtysomething Life
103,Wishes Come True
104,Race Relations
105,Crimes Against Humanity
106,Demonic Possession
107,Fantasy Lands
108,Shrunken People
109,Farm Life
110,Serial Killers
111,Bodyguards
112,Street Gangs
113,Underdogs
114,Coming Home
115,Lone Wolves
116,Refugees
117,Traitorous Spies/Double Agents
118,Hostage Situations
119,Custody Battles
120,Single Parents
121,Missing Persons
122,Saintly Fools
123,Voodoo
124,Sexual Awakening
125,Psychic Abilities
126,Femmes Fatales
127,Mothers and Daughters
128,Fall From Power
129,All Washed Up
130,Behind Enemy Lines
131,Fish Out of Water
132,Self-Destructive Romance
133,Post-Apocalypse
134,End of the World
