film,zanr
0,Thriller
0,Drama
0,Crime
1,Horror
1,Crime
1,Thriller
2,Drama
2,Fantasy
3,Comedy
3,Romance
3,Crime
4,Science Fiction
5,Science Fiction
6,Drama
7,Horror
7,Drama
7,Thriller
8,Comedy
8,Horror
8,Romance
9,Drama
9,Romance
10,Fantasy
10,Drama
11,Drama
11,Crime
12,Comedy Drama
13,Comedy Drama
14,Action
14,Adventure
14,Science Fiction
14,Fantasy
15,Horror
15,Thriller
16,Action
16,Adventure
16,Fantasy
16,Science Fiction
16,Comedy
17,Western
17,War
17,Action
17,Adventure
18,Drama
18,Crime
19,Romance
20,Action
20,Adventure
20,Science Fiction
20,Thriller
21,Horror
22,Fantasy
22,Children's/Family
23,Fantasy
23,Drama
23,Action
23,Adventure
23,Science Fiction
23,Thriller
24,Drama
24,Romance
24,Music
24,Musical
25,Mystery
25,Romance
25,Drama
25,Action
25,Adventure
25,War
25,Crime
26,Drama
26,Romance
27,Drama
27,Family & Personal Relationships
28,Drama
28,Action
28,Adventure
28,Crime
28,Thriller
29,Drama
30,Drama
30,Thriller
30,Horror
31,Drama
31,Western
31,Crime
31,Family & Personal Relationships
32,Comedy Drama
33,Action
33,Adventure
33,Fantasy
34,Comedy
34,Crime
35,Comedy
35,Romance
36,Fantasy
36,Romance
36,Drama
37,Drama
37,Crime
38,Comedy Drama
39,Comedy Drama
40,Drama
40,Thriller
40,Horror
41,Drama
41,Family & Personal Relationships
41,Historical Film
42,Drama
42,Mystery
42,Thriller
43,Romance
43,Language & Literature
43,Action
43,Adventure
43,Mystery
44,Drama
44,Thriller
45,Drama
45,Thriller
45,Romance
46,Drama
46,Horror
47,Drama
47,Science Fiction
48,Comedy
48,Romance
49,Musical
49,Drama
49,Music
50,Horror
50,Thriller
51,Sports & Recreation
51,Crime
52,Comedy Drama
53,Mystery
53,Drama
53,Thriller
54,Drama
54,Mystery
55,Musical
55,Comedy
55,Romance
56,Action
56,Adventure
56,Spy Film
56,Thriller
57,Action
57,Adventure
57,Western
58,Comedy
58,Romance
58,Drama
59,Drama
59,Romance
59,Western
60,Drama
60,Horror
61,Western
61,Action
61,Adventure
62,Comedy
62,Drama
63,Comedy Drama
64,Drama
64,Romance
64,Comedy
65,Comedy Drama
66,Comedy
66,Children's/Family
67,Western
67,Action
67,Adventure
67,War
67,Drama
68,Comedy
68,Romance
68,Drama
69,Action
69,Adventure
69,Fantasy
69,Drama
69,Science Fiction
70,Mystery
70,Drama
70,Crime
70,Thriller
71,Action
71,Adventure
71,Fantasy
71,Drama
72,Western
73,Drama
74,Drama
74,Comedy
74,Romance
74,Family & Personal Relationships
75,Fantasy
76,Western
77,Drama
77,Romance
77,Mystery
78,Comedy Drama
78,Drama
79,Action
79,Adventure
79,Science Fiction
79,Thriller
80,Drama
80,Crime
80,Thriller
81,Horror
81,Thriller
81,Drama
82,Western
82,Drama
82,Action
82,Adventure
83,Thriller
83,Crime
84,Action
84,Adventure
84,Romance
84,Drama
84,War
85,Action
85,Adventure
85,War
85,Crime
86,Comedy
86,Romance
86,Science Fiction
86,Drama
87,Science Fiction
87,Drama
87,Fantasy
87,Crime
88,Comedy
88,Musical
88,Romance
88,Western
89,Action
89,Adventure
89,War
89,Western
89,Historical Film
89,Drama
90,Action
90,Adventure
90,Drama
90,Nature
90,Western
90,Crime
91,Comedy
91,Musical
91,Western
91,Action
91,Adventure
91,Crime
91,Romance
92,Drama
92,Thriller
93,Fantasy
93,Children's/Family
94,Drama
94,Family & Personal Relationships
94,Historical Film
96,Action
96,Adventure
96,Science Fiction
97,Drama
97,Romance
97,Action
97,Adventure
97,Historical Film
98,Drama
98,War
98,Action
98,Adventure
98,Language & Literature
99,Western
99,Action
99,Adventure
100,Comedy
100,Romance
101,Comedy Drama
102,Fantasy
103,Drama
103,Thriller
104,Comedy
104,Drama
104,Romance
105,Drama
106,Drama
106,Horror
106,Science Fiction
107,Comedy
107,Fantasy
107,Romance
107,Drama
107,Science Fiction
108,Action
108,Adventure
108,Romance
108,Thriller
109,Drama
109,Romance
109,Western
110,Drama
110,Crime
111,Western
111,Comedy
112,Mystery
112,Horror
112,Thriller
113,Drama
113,Romance
114,Musical
114,Romance
114,Music
114,Drama
115,Mystery
115,Drama
116,Drama
116,Action
116,Adventure
116,Mystery
116,War
116,Western
116,Historical Film
117,Comedy Drama
118,Comedy
119,Comedy
120,Drama
120,Crime
120,Romance
121,Drama
121,Romance
122,Action
122,Adventure
122,Drama
122,Romance
122,War
122,Western
122,Historical Film
123,Action
123,Adventure
124,Action
124,Adventure
124,Drama
124,Historical Film
125,Drama
125,Romance
125,Comedy
126,Action
126,Adventure
126,Crime
126,Drama
126,Thriller
127,Comedy Drama
128,Comedy
128,Music
128,Romance
129,Action
129,Adventure
129,Fantasy
129,Romance
130,Musical
130,Romance
130,Drama
131,Horror
131,Thriller
